what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553722760447
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1553722762307
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1553722762318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553722762330
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1553722787173
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1553722794654
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1553722814007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553722848610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723110228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723121624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723131429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723136647
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1553723140228
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1553723140236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723140249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723144675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723145852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723148258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723149732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723202566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723278901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723279196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723346403
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1553723349366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553723387062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553724980344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553724982914
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553724984297
started,bundle,org.eclipse.papyrus.sasheditor.di,0.8.0.v201106151827,"org.eclipse.papyrus.sasheditor.di",1553724984604
started,bundle,org.eclipse.gmf.runtime.common.core,1.4.1.v20101119-2230,"org.eclipse.gmf.runtime.common.core",1553724984614
started,bundle,org.eclipse.emf.workspace,1.4.0.v20100224-1706,"org.eclipse.emf.workspace",1553724984635
started,bundle,org.eclipse.gmf.runtime.emf.commands.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.commands.core",1553724984638
started,bundle,org.eclipse.papyrus.validation,0.8.0.v201106151827,"org.eclipse.papyrus.validation",1553724984640
started,bundle,org.eclipse.emf.ecore.change,2.7.1.v20110829-1916,"org.eclipse.emf.ecore.change",1553724984645
started,bundle,org.eclipse.emf.ecore.edit,2.7.0.v20110913-1156,"org.eclipse.emf.ecore.edit",1553724984707
started,bundle,org.topcased.modeler.di,3.0.1.201107291408,"org.topcased.modeler.di",1553724984707
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1553724984931
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1553724984931
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1553724984931
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1553724984931
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1553724984931
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1553724984931
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1553724984931
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1553724984932
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1553724984932
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1553724984932
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1553724984932
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1553724984932
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.400.v201103082016,"org.eclipse.jst.ws.consumption.ui",1553724984932
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.600.v201103082016,"org.eclipse.jst.ws.consumption",1553724984932
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1553724984932
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1553724984932
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1553724984932
